Stock,LSTM_RMSE,LSTM_MAE,LSTM_R2,Hybrid_RMSE,Hybrid_MAE,Hybrid_R2,RMSE_Improv(%),MAE_Improv(%)
AAPL,39.5855,24.3547,0.3028,39.4997,24.1101,0.3059,0.22,1.0
AMGN,6.0876,4.6019,0.9908,3.726,2.8351,0.9966,38.79,38.39
AXP,4.7561,3.5315,0.9835,3.8579,2.9586,0.9891,18.88,16.22
BA,10.5613,6.2597,0.988,7.0697,3.9478,0.9946,33.06,36.93
CAT,5.8031,4.271,0.984,3.6004,2.6976,0.9938,37.96,36.84
CRM,6.6643,4.417,0.9912,4.756,3.3499,0.9955,28.64,24.16
CSCO,2.8608,2.0249,0.9493,4.5934,3.5193,0.8693,-60.57,-73.8
CVX,4.5233,3.3892,0.9508,3.1021,2.3465,0.9769,31.42,30.77
DIS,4.336,3.312,0.9883,3.4467,2.6581,0.9926,20.51,19.74
GS,8.7152,6.309,0.9863,4.9065,3.5242,0.9957,43.7,44.14
HD,6.6438,4.3217,0.9953,4.4858,3.2097,0.9979,32.48,25.73
HON,4.9498,3.7947,0.9917,3.8397,3.0254,0.995,22.43,20.27
IBM,5.1777,4.0324,0.9532,3.2305,2.4774,0.9818,37.61,38.56
INTC,3.1011,2.2164,0.9417,4.6359,3.725,0.8698,-49.49,-68.07
JNJ,3.6012,2.8426,0.99,3.1628,2.4776,0.9923,12.17,12.84
JPM,3.6071,2.5543,0.9908,3.3154,2.5783,0.9922,8.09,-0.94
KO,2.0846,1.8236,0.9414,3.4542,2.8102,0.8391,-65.7,-54.1
MCD,4.9285,3.5902,0.9932,3.7088,2.7795,0.9961,24.75,22.58
MMM,5.4492,4.0927,0.9842,3.7135,2.9093,0.9927,31.85,28.92
MRK,2.6065,2.192,0.9785,3.1522,2.5091,0.9686,-20.94,-14.47
MSFT,5.5522,3.8244,0.9961,4.9764,3.8195,0.9968,10.37,0.13
NKE,3.9373,3.1402,0.9902,3.8473,3.014,0.9907,2.28,4.02
PG,3.1977,2.608,0.9871,3.1049,2.4535,0.9878,2.9,5.92
TRV,4.4537,3.6039,0.9846,3.6411,2.8607,0.9897,18.25,20.62
UNH,7.9088,5.2397,0.997,5.273,3.6933,0.9987,33.33,29.51
V,4.678,3.114,0.9956,3.9764,3.074,0.9968,15.0,1.28
VZ,2.0801,1.7701,0.9311,3.2511,2.615,0.8316,-56.3,-47.73
WBA,3.6508,3.2015,0.9606,3.4557,2.5893,0.9647,5.34,19.12
WMT,3.4529,2.7984,0.9869,3.287,2.5388,0.9881,4.81,9.28
CVX,4.5233,3.3892,0.9508,3.1021,2.3465,0.9769,31.42,30.77
